datetime,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2020-03-31 16:00:00,6454.12,6486.6,6401.0,6463.47,9987.719867,1585684799999,64407175.80402683,82941,4958.734417,31985625.91402358,0
2020-03-31 20:00:00,6465.32,6494.9,6386.89,6410.44,8093.08539,1585699199999,52163529.92055113,72693,3709.308389,23914588.44627519,0
2020-04-01 00:00:00,6412.14,6426.52,6239.34,6368.68,16090.230568,1585713599999,101670700.36210504,112238,7283.494027,46020482.25204258,0
2020-04-01 04:00:00,6368.74,6376.28,6271.14,6331.96,9598.487352,1585727999999,60632649.45602865,80932,4524.358686,28577334.10606742,0
2020-04-01 08:00:00,6330.87,6330.87,6257.32,6296.87,9145.241354,1585742399999,57565261.51980692,79003,4652.474951,29286888.34807771,0
2020-04-01 12:00:00,6297.0,6340.81,6170.0,6230.09,16839.380748,1585756799999,104973796.19992927,136504,8392.544979,52327116.61389758,0
2020-04-01 16:00:00,6230.01,6230.01,6150.11,6200.81,11242.568016,1585771199999,69603651.96012807,104648,5360.282823,33192589.64139234,0
2020-04-01 20:00:00,6200.11,6679.94,6193.1,6642.92,34584.844362,1585785599999,224081409.33616617,244736,18948.214729,122775712.01878852,0
2020-04-02 00:00:00,6643.36,6744.0,6551.0,6606.05,18913.088558,1585799999999,125382993.84949641,137507,9461.195451,62759246.75818391,0
2020-04-02 04:00:00,6606.05,6679.79,6565.0,6644.0,10475.344768,1585814399999,69355708.7388299,90934,5354.596888,35457775.29281449,0
2020-04-02 08:00:00,6643.99,6720.0,6602.58,6690.6,13134.740808,1585828799999,87356914.6740775,118951,6783.198495,45128391.55410531,0
2020-04-02 12:00:00,6690.6,6831.59,6620.34,6805.0,25457.406152,1585843199999,171077608.99505898,200725,12960.5696,87147457.21361823,0
2020-04-02 16:00:00,6805.0,7198.0,6723.0,6803.25,62146.162565,1585857599999,431426174.3826751,390680,31295.952025,217507230.6785223,0
2020-04-02 20:00:00,6801.41,6867.97,6651.0,6794.09,19173.16402,1585871999999,129895361.80150431,162246,8866.651289,60095724.46143267,0
