timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-14T00:00:00.000Z";"2025-04-14T23:59:59.999Z";"2025-04-14T02:36:00.000Z";"2025-04-14T00:07:00.000Z";"2781";128.5781779311;135.186951464;128.2328834524;129.3103747599;4425565000.77;66752089537.53;"2025-04-14T23:59:59.999Z"
"2025-04-13T00:00:00.000Z";"2025-04-13T23:59:59.999Z";"2025-04-13T00:54:00.000Z";"2025-04-13T21:09:00.000Z";"2781";132.2625895614;133.506841254;125.5238615587;128.5807943647;3818650339.57;66358134024.48;"2025-04-13T23:59:59.999Z"
"2025-04-12T00:00:00.000Z";"2025-04-12T23:59:59.999Z";"2025-04-12T22:23:00.000Z";"2025-04-12T03:01:00.000Z";"2781";121.5327002008;133.7588532971;119.6593436287;132.2605543066;4089397536.35;68260309348.38;"2025-04-12T23:59:59.999Z"
"2025-04-11T00:00:00.000Z";"2025-04-11T23:59:59.999Z";"2025-04-11T21:26:00.000Z";"2025-04-11T01:01:00.000Z";"2781";112.8073193673;122.3985879047;112.1864249135;121.532379689;3953610468.46;62700552052.93;"2025-04-11T23:59:59.999Z"
"2025-04-10T00:00:00.000Z";"2025-04-10T23:59:59.999Z";"2025-04-10T00:01:00.000Z";"2025-04-10T17:13:00.000Z";"2781";119.0622867885;119.0825600034;108.6016885189;112.8039227513;4310698522.89;58178619643.77;"2025-04-10T23:59:59.999Z"
"2025-04-09T00:00:00.000Z";"2025-04-09T23:59:59.999Z";"2025-04-09T18:26:00.000Z";"2025-04-09T01:32:00.000Z";"2781";105.5095882309;120.4707693434;101.4347348639;119.0575414115;7096350476;61387495070.29;"2025-04-09T23:59:59.999Z"
"2025-04-08T00:00:00.000Z";"2025-04-08T23:59:59.999Z";"2025-04-08T02:28:00.000Z";"2025-04-08T17:29:00.000Z";"2781";106.9052650818;112.298938179;103.1445274944;105.5121924807;5353641480.29;54387188549.9;"2025-04-08T23:59:59.999Z"
"2025-04-07T00:00:00.000Z";"2025-04-07T23:59:59.999Z";"2025-04-07T14:19:00.000Z";"2025-04-07T06:56:00.000Z";"2781";105.7120158751;111.4719838319;96.5880665927;106.9027774755;8644174245.95;55106753385.54;"2025-04-07T23:59:59.999Z"
"2025-04-06T00:00:00.000Z";"2025-04-06T23:59:59.999Z";"2025-04-06T01:28:00.000Z";"2025-04-06T23:25:00.000Z";"2781";120.2585041234;120.9326749268;104.0041293431;105.7120158751;3822458628.77;54398171133.24;"2025-04-06T23:59:59.999Z"
"2025-04-05T00:00:00.000Z";"2025-04-05T23:59:59.999Z";"2025-04-05T00:01:00.000Z";"2025-04-05T15:46:00.000Z";"2781";122.786432234;122.7869127796;117.1888050686;120.2589982879;1667996328.83;61882630805.68;"2025-04-05T23:59:59.999Z"
"2025-04-04T00:00:00.000Z";"2025-04-04T23:59:59.999Z";"2025-04-04T21:49:00.000Z";"2025-04-04T11:34:00.000Z";"2781";117.0648115164;123.9006008765;113.603229588;122.7868814418;5182517335.08;63167453345.58;"2025-04-04T23:59:59.999Z"
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T03:02:00.000Z";"2025-04-03T14:53:00.000Z";"2781";117.7492009838;120.7898287372;112.4782624308;117.0614581729;4633002432.45;60010101507.01;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T20:19:00.000Z";"2025-04-02T23:56:00.000Z";"2781";126.6796051515;135.6957925217;117.7442795198;117.7576329891;5399672437.81;60346922638.23;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T15:19:00.000Z";"2025-04-01T01:13:00.000Z";"2781";124.6953387585;130.0324303983;123.9490458444;126.6823803677;2993289338.63;64923884942.52;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T15:28:00.000Z";"2025-03-31T00:44:00.000Z";"2781";124.6440303818;127.6969033951;123.0792407766;124.6941279564;3206702484.55;63879474456.29;"2025-03-31T23:59:59.999Z"
"2025-03-30T00:00:00.000Z";"2025-03-30T23:59:59.999Z";"2025-03-30T19:06:00.000Z";"2025-03-30T22:10:00.000Z";"2781";124.5864838892;126.6233903102;123.3007613591;124.642635422;1639017443.61;63854182682.33;"2025-03-30T23:59:59.999Z"
