datetime,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2024-12-27 20:00:00,186.9,187.0,183.13,184.22,219006.024,1735343999999,40480224.6349,134152,120442.145,22254196.76957,0
2024-12-28 00:00:00,184.22,186.01,183.82,185.03,183303.245,1735358399999,33907562.41958,139946,108376.224,20048345.44511,0
2024-12-28 04:00:00,185.03,186.32,184.26,185.13,172811.415,1735372799999,32031799.0598,97404,81833.896,15172141.27973,0
2024-12-28 08:00:00,185.13,187.36,185.0,187.19,183668.43,1735387199999,34210588.83645,110913,84291.824,15702322.52202,0
2024-12-28 12:00:00,187.19,191.3,186.5,190.18,326507.097,1735401599999,61731702.2299,192393,165857.147,31353050.70657,0
2024-12-28 16:00:00,190.19,195.35,189.64,193.76,348568.007,1735415999999,67426259.57765,178420,192769.781,37275405.4527,0
2024-12-28 20:00:00,193.76,196.1,192.71,195.5,279989.673,1735430399999,54417261.54224,121502,149866.082,29125584.61607,0
2024-12-29 00:00:00,195.5,195.7,192.42,194.78,261346.132,1735444799999,50608338.86611,133102,127882.415,24770288.12891,0
2024-12-29 04:00:00,194.79,197.37,194.07,196.04,226220.927,1735459199999,44211367.72158,103832,118834.368,23229620.09043,0
2024-12-29 08:00:00,196.03,197.34,194.88,196.09,216117.187,1735473599999,42381192.75845,111264,119248.275,23386587.33494,0
2024-12-29 12:00:00,196.1,197.71,192.91,195.14,336831.566,1735487999999,65706695.87789,192810,165990.961,32389696.12013,0
2024-12-29 16:00:00,195.15,195.48,192.16,192.71,217764.295,1735502399999,42112990.70504,153373,101853.837,19697367.20901,0
2024-12-29 20:00:00,192.71,192.81,188.57,189.94,301909.912,1735516799999,57530450.48628,167596,128239.195,24440333.8059,0
2024-12-30 00:00:00,189.94,194.4,189.08,191.38,332906.435,1735531199999,63967028.91258,227158,178493.001,34294418.24377,0
2024-12-30 04:00:00,191.37,193.73,189.58,192.36,245144.784,1735545599999,46952546.01618,155580,123614.723,23698187.64887,0
2024-12-30 08:00:00,192.37,194.14,191.52,193.51,249320.98,1735559999999,48142462.11898,161178,129135.187,24932836.24681,0
2024-12-30 12:00:00,193.52,194.82,185.99,187.32,596411.939,1735574399999,112974597.40576,330230,262516.661,49717538.5012,0
2024-12-30 16:00:00,187.32,196.3,185.89,196.21,593100.561,1735588799999,113727974.52767,328044,327223.622,62739307.83872,0
2024-12-30 20:00:00,196.2,196.47,189.1,191.38,399100.789,1735603199999,76627990.3962,215001,198329.495,38043917.94638,0
2024-12-31 00:00:00,191.37,192.05,188.33,189.96,282814.546,1735617599999,53716871.96473,180488,148007.786,28126395.4336,0
2024-12-31 04:00:00,189.95,190.77,188.04,190.07,283226.206,1735631999999,53624011.38189,159257,150028.441,28403965.31195,0
2024-12-31 08:00:00,190.07,194.96,190.0,193.79,448946.097,1735646399999,86673145.86902,213625,220924.916,42637832.97881,0
2024-12-31 12:00:00,193.8,198.76,193.01,198.44,595922.956,1735660799999,117008942.14259,280737,328430.977,64490669.51525,0
2024-12-31 16:00:00,198.44,199.27,193.22,193.81,460862.38,1735675199999,90532991.90772,252156,217449.763,42730668.62658,0
2024-12-31 20:00:00,193.81,194.82,189.2,189.31,390206.077,1735689599999,74895113.40003,163584,194567.152,37354862.75009,0
2025-01-01 00:00:00,189.31,192.66,189.08,190.43,300383.879,1735703999999,57398615.66134,136324,164052.928,31346373.37427,0
